lat,lon
48.299706,14.291311
48.312988,14.2827156
48.3139914,14.2811672
48.3347652,14.3211717
48.3292021,14.3205236
48.3295678,14.3192582
48.330183,14.3244242
48.3345911,14.3216089
48.3131786,14.2867103
48.313014,14.2820103
48.30894,14.2823036
48.3029429,14.2839991
48.3131727,14.2849763
48.3108226,14.2816596
48.3092192,14.2826366
48.3124011,14.2871196
48.3151916,14.2777745
48.3029622,14.2908904
48.3438259,14.2746348
48.3056669,14.2821149
